id,user_id,timestamp,ip_address,country,browser,device_type,operating_system,user_agent,login_successful,ip_address_int,login_hour
e0bdba4f-615b-4bec-a092-4828579e66c5,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-14 15:01:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/58 Linux,True,3462683909,15
783a1b7a-f88b-47cf-a76e-3b3b4ef95578,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-15 03:40:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/56 Linux,True,3462683909,3
acf5f2bd-fdd3-47db-9fe2-b7e17cbc533e,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-15 15:17:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/97 Linux,True,3462683909,15
f90e9fc8-a57a-4b4c-ba4c-41479ce15a59,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-16 06:35:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/84 Linux,True,3462683909,6
1f843380-6082-44f0-b75a-95235b196058,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-16 08:09:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/87 Linux,True,3462683909,8
89030fdf-1929-4dcd-9688-399416e2d6ea,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-16 08:44:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/55 Linux,True,3462683909,8
079bd5bd-1e26-49ec-bdc6-ca8e5987c771,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-16 19:05:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/51 Linux,False,3462683909,19
fa5f3488-4148-4646-a5fc-ac446e78eaec,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-17 07:23:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/91 Linux,True,3462683909,7
c8a77d5c-3f79-4b14-805d-a68479776dde,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-17 14:37:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/64 Linux,True,3462683909,14
6670190a-53b4-4c23-8065-09aa925d88d6,8db08398-f0d1-4a91-baaa-0cd1ec521b46,2025-06-17 19:26:04,206.100.93.5,IN,Chrome,Desktop,Linux,Chrome/50 Linux,True,3462683909,19
4ace34aa-8aa8-4889-8f63-d8ade31c4fb7,dff13bba-abf3-41fa-adff-f1a2b594af25,2025-06-24 06:45:46,219.208.125.104,GB,Safari,Mobile,Linux,Safari/63 Linux,True,3687873896,6
0c23bd8c-1b3b-488a-9c95-d9ecdef85382,dff13bba-abf3-41fa-adff-f1a2b594af25,2025-06-24 23:10:46,219.208.125.104,GB,Safari,Mobile,Linux,Safari/98 Linux,True,3687873896,23
